رزیدنت_ایول	توسعه‌دهنده	کپ‌کام
سایوز_تی‌ام‌ای-22	مدار_مرجع	مدار_زمین‌مرکزی
زبان_بلغاری	زبان_رایج_در	اروپای_جنوب_شرقی
بافتان	دهستان	ابرغان
آنتونی_هاپکینز	شهروندی	بریتانیا
پسران_آجری	بازیگر	فرزاد_فرزین
سید_احمد_آوایی	موضوع	یادکردهای_دارای_منبع_به_زبان_اردو
حیدرآباد	بخش	شهرستان_بافت
گیتار_آکوستیک	مورد_مرتبط	گیتار_لید
سلشتئا_ده_سو	نوع	فهرست_شهرهای_رومانی
استرگم	رهبر_title	شهردار
کهنه_گوراب	روستا	شهرستان_فومن
اباصلت_صادقی	محل_مرگ	تکاب
مهدی‌آباد	روستا	شهرستان_مهریز
شرکت_نرم‌افزاری_بهپرداز	موقعیت	تهران
معادله	بازیگر	عارف_لرستانی
کانگوروی_دم‌قلمویی_شرقی	رده	کیسه‌داران
ادوارد_ماشری	محل_کار	دانشگاه_پیتسبرگ
ولسوالی_بلخاب	عنوان	اقوام_افغانستان
ابوظبی	نوع_حاکمان	امیر
برونینگ_های‌پاور	نوع	پیستول_نیمه‌خودکار
تین_چیاو	محل_تحصیل	دانشگاه_لندن
حزب_مردم_ایران	حرفlogan	نهضت_خداپرستان_سوسیالیست
اوردرایو_میان‌ستاره‌ای	آهنگ‌ساز	سید_برت
نازنین_کانتراکتور	موضوع	بازیگران_زن_اهل_تورنتو
پل_اپورث	ناشر_موسیقی	کلمبیا_رکوردز
تولیو_لوی_چیویتا	درstitution	دانشگاه_ساپینزای_رم
محمدامین_نوروزی	متولد	تهران
بخش_لاشار	مرکز	اسپکه
سیف‌الدین‌رود	دهستان	قرانقو
شهرستان_نجف‌آباد	شهر	دهق
فهرست_شاهان_فرانسه	آخرین_monarch	ناپلئون_سوم
سید_محمدحسین_لواسانی	رئیس	اکبر_هاشمی_رفسنجانی
نورثروپ	محصولات	نورثروپ_ایکس-4_بنتم
کسلوانیا	سیستم‌ها	وی
فارهام	منطقه	لندن
سنگ_سفید	بخش	شهرستان_فیروزه
مارکی_دو_ساد	علایق_اصلی	پورنوگرافی
اسوانتون،_مریلند	نوع	زیپ‌کد
لشکر_فاطمیون	متحد_کردن	حزب‌الله
میرزاآباد	منطقه	شهرستان_کنگاور
آرورا،_کلرادو	رهبر_title	شهردار
جاش_هاچرسون	محل_تولد	کنتاکی
تهران	بازیگران	مک‌دانلد_پارک
اوانستون	بخشی_از	ایالات_متحده_آمریکا
جودی_دنچ	موضوع	نویسنده
نلسون_راکفلر	سمت_اداری	فهرست_معاونان_ریاست_جمهوری_ایالات_متحده_آمریکا
بابک_بیات	شاگرد	مانی_رهنما
گنداب	منطقه	استان_خراسان
ماهیچه_نعلی	سرخرگ	سرخرگ_پشت‌زانویی
مایک_پست	هنرمندان_همکار	میسون_ویلیامز
جشنیان	توابع	بوانات
کردکند	شهرستان	ایران
سپهبد	حرفervice_branch	پرچم
شمکیا_کاپلند	ابزار	خواننده
زبان_ساساری	فیلمنامه	الفبای_لاتین
بیمارستان_تحقیقاتی_اطفال_سنت_جود	منطقه	ممفیس،_تنسی
چارلز_تیلور	تأثیرگرفته_از	مایکل_پولانی
اندیس_مارن	محصول	مارن
سولدوتنا،_آلاسکا	عنوان_حاکم	شهردار
امیر_قلعه‌نویی	تیم‌های_مربیگری	باشگاه_فوتبال_استقلال_تهران
کرمان	سوغات	قالی
علیرضا_شاپور_شهبازی	محل_تحصیل	معاون_Vice_Chancellor
فریدریش_نیچه	درfluenced_by	هراکلیتوس
بانک_لومی	محصول	بانکداری_خرد
اوا_گاردنر	محل_مرگ	لندن
پیرسرا	روستا	شهرستان_صومعه‌سرا
ویرپازار	ناحیه_زمانی_۱	زمان_اروپای_مرکزی
موسیقی_هاوس	ریشه‌های_سبکی	سینث‌پاپ
ثئوفراستوس	تأثیرگرفته_از	ارسطو
آبید	توابع	ایذه
سید_سلمان_ذاکر	ترتیب_in_office	ارومیه
موزه_گرمابه_پهنه	زمان_تاسیس	1375
شورون	رئیس_executive_officer	جان_واتسون
آک_بارس_آئرو	قطب_airport	فرودگاه_بوگولما
دانشگاه_تگزاس_در_آرلینگتون	رئیس_جمهور	ویستاسپ_کارباری
لشکر_فاطمیون	مخالف	جبهه_اسلامی
شاخ‌دراز_باتوس	ترتیب_(taxonomy)	قاب‌بالان
مکه	نوع	فهرست_پیش‌شماره_تلفنی_کشورها
هاملت_عیسی‌خانلی	ملیت	جمهوری_آذربایجان
باشگاه_فوتبال_کیکرز_اوفنباخ	ورزشگاه	ورزشگاه_اشپاردا_بانک_هسن
براونی	اجزای_تشکیل‌دهنده	شکر
کیان	بخش	شهرستان_اصفهان
اینداستریال_متال	مشتق_ها	نویه_دویچه_هرته
سید_علی_قاضی	حرفtudent	محمدتقی_آملی
لوک_اویل	منطقه_served	جهان
جان_کارپنتر	درfluenced_by	آلفرد_هیچکاک
اژدهای_آتش	سکوی_رایانش	مکینتاش
بایوور	بنیاد	1955
بازار_قدیم_قزوین	زمان_تاسیس	دوره_صفویه
پل_بناسراف	تأثیرگرفته_از	هیلاری_پاتنم
دولپه‌ای‌های_نو	شاخه	گیاهان_گلدار
لارل،_مریلند	نوع	شهر
اندیس_سپرو	نوع	مصالح_ساختمانی
ماتیا_ناستازیچ	تاریخ_تولد	28_مارس
آرژانتین	سال_تولید_ناخالص_داخلی	2019
کاروی_ماک	محل_مرگ	بوداپست
سالار_عشقی	کودک	سپیده
دانشگاه_غیرانتفاعی_علامه_محدث_نوری	تأسیس	1372
سی_اس_تی-100	کشور	ایالات_متحده_آمریکا
تهم‌رییش_590	کشف_site	هایدلبرگ
سرتیپ_دوم	حرفervice_branch	پرچم
ای‌اس‌پی‌دات‌نت_ام‌وی‌سی	محاسبات_platform	مونو
هدر	روستایی_شهرستان	سلماس
ناحیه_فدرالی_مرکزی	مرکز_شهرستان	مسکو
یعکوو_گ._سینایی	کار_institutions	دانشگاه_پرینستون
جرج_گری	محل_اقامت	دلاویر
ایکا	شهر	ایران
ایمانوئل_کانت	قابل_توجه	ملکوت_غایات
من_همسرش_هستم	بازیگر	امیر_نصیری_یکتا
نفرین	ژانر	فیلم_درام
شهرستان_نجف‌آباد	منطقه	بخش_مهردشت
شهوت_تازه	ناشر	هاروست_رکوردز
مشایخ	توابع	شهرستان_کیار
سوارکاری_در_بازی‌های_المپیک_تابستانی_1956	رویداد_بعدی	سوارکاری_در_بازی‌های_المپیک_تابستانی_1960
ردوود_فالز،_مینه‌سوتا	سال_جمعیت	سرشماری_2010_ایالات_متحده_آمریکا
امید_نوروزی	ورزش	کشتی_فرنگی
اکستریم_متال	ابزار	گیتار_الکتریک
ریپ_تورن	اهل	ایالات_متحده_آمریکا
قنات_چشمه‌کنی‌پشتی،_کبودرآهنگ	بخش	بخش_گل‌تپه
اوراکل_آرینا	مکان	اوکلند،_کالیفرنیا
ورزشگاه_المپیک_مونترآل	خانه_stadium	بازی‌های_المپیک_تابستانی_1976
ماریا_کری	شغل	هنرپیشه
گاستون_باشلار	محل_تولد	فرانسه
خیزش	استحکامات	تمپا،_فلوریدا
ویلیام_ناکس_دارسی	زایمان_date	11_اکتبر
گئورگ_ویلهلم_فریدریش_هگل	منطقه	فلسفه_غرب
پال_توران	موضوع	ریاضیات
ناحیه_ورزاب	مذهب	حنفی
یوری_گاگارین	تاریخ_گزینش	7_مارس
کیران_رائو	موضوع	هنرمندان_زن_اهل_کارناتاکا
ماریتا_کخ	محل_تولد	آلمان_شرقی
ویکتور_پلوین	محل_تولد	اتحاد_جماهیر_سوسیالیستی_شوروی
عباس_اقبال_آشتیانی	ملیت	مردمان_ایرانی
بوهاVI	مالک	مایکروسافت
محمد_محمدعلی	معروف_for	ادبیات_فارسی
حسن_زندباف	محل_تحصیل	کنسرواتوار
هتل_و_کازینوی_آریا	خودer	دوبی_ورلد
دوآب	توابع	کنگاور
پیتر_گیچ	تأثیرگرفته_از	ارسطو
هاچینسون،_مینه‌سوتا	نام	استاندارد_پردازش_اطلاعات_فدرال
کانن_ئی‌اواس_7دی	مهربان	دوربین_دیجیتال_تک‌لنزی_بازتابی
تالاب_باهو	موقعیت	سیستان_و_بلوچستان
پرویز_مشرف	نخست‌وزیر	شوکت_عزیز
کیم_جونگ-اون	برتر	پاک_پونگ-جو
نوتوس،_آیداهو	نوع	زیپ‌کد
بقا	سبک	پراگرسیو_راک
کاخ_سعدآباد	موقعیت	تهران
کیشیناو	نوع_حاکمان	شهردار
اس_و_ام	قالب	دانلود_موسیقی
سیورودونتسک	است_،_part_of	استان_لوهانسک
آبیلس	رهبر_party	حزب_کارگران_سوسیالیست_اسپانیا
سید_مرتضی_میرباقری	بوهاlma_mater	دانشگاه_تربیت_مدرس
جانی_کاپلند	شغل	خواننده
جایزه_گلدن_گلوب_بهترین_فیلم_درام	محل	ایالات_متحده_آمریکا
پت_نیکسون	استراحت_place	موزه_و_کتابخانه_ریاست_جمهوری_ریچارد_نیکسون
دیرمد_مورتا	ویکیپراژهای_هدایت_شده	ديرمد_مورتا
شهرآورد_سی_و_هشتم_تهران	شهر	تهران
موریس	نام_حاکم	ناوین_رامگولام
کوین_سیستروم	محصول_تولید	اینستاگرام
کیوان_جهانشاهی	تاریخ_تولد	ایران
فرزانه_قاسمی	محل_تولد	ایران
مسیعید	کد_منطقهٔ_ایزو	qa
قلعه‌جوق	بخش	پلدشت
آریارمنه	فرزندان	آرشام
بهمن‌آباد	بخش	استان_تهران
جیمز_گان	جانشین	جیمز_جکسون
اندیس_تختان2	محصولات	نمک
مکی	توابع	شهرستان_بم
گودزیلا_در_برابر_بیولانته	بازیگران	یوشیکو_تاناکا
پیت_کنراد	نظامی_rank	پرچم_نیروی_دریایی_ایالات_متحده_آمریکا
منوچهر_یکتایی	موضوع	شعر
قلعه_صمصام‌السلطنه	استان	استان_چهارمحال_و_بختیاری
فیلو_فارنزورث	محصول_تولید	تلویزیون_الکترونی
سوکوبوس	خلاقیت_های_مشابه	اینکوبوس
بهارستان	شهرستان	تهران
تیم_ملی_فوتبال_لسوتو	کنفدراسیون	کنفدراسیون_فوتبال_آفریقا
اندیس_آنومالی_آغ_دره_بالا	محصولات	طلا
روث_پورت	بوهاlma_mater	مدرسه_وارتون_دانشگاه_پنسیلوانیا
فرانسیسکو_گویا	محل_مرگ	فرانسه
استافیلوکوک_دلفینی	جفenus	استافیلوکوک
پراکریت	سد	زبان‌های_هندوآریایی
یونیکس_فایل_سیستم	توسعه_دهنده	گروه_تحقیقاتی_سیستم‌های_کامپیوتری
راگنار_نورکس	محل_کار	دانشگاه_آکسفورد
قره‌بورون	منطقه	شهرستان_اهر
جنبش_وفاق_ملی_عراق	دفتر_مرکزی	عراق
جرمنیا	محل	برلین
مریم_بوبانی	شغل	هنرپیشه
کانی‌سفید	منطقه	خلیفان
سید_علی_خاتمی	محل_کار	دولت_هشتم_جمهوری_اسلامی_ایران
زاید_بن_سلطان_آل_نهیان	تاریخ_تولد	1918
زبان_روهینگیا	سد	زبان‌های_هندوآریایی
فرودگاه_آدلاید	شهر	آدلاید
سعدآباد	منطقه	شهرستان_فسا
میکا	دسته	کانی‌های_سیلیکات
گوکچه_بهادیر	محل_تولد	استانبول
موسیقی_امبینت	موسیقی_subgenre	دارک_امبینت
گل_همیشه‌بهار	خانواده	کاسنیان
خالد	ساز	درام
جایزه_اسکار_بهترین_فیلم_پویانمایی	دارنده	نود_و_یکمین_دوره_جوایز_اسکار
قوخ	منطقه	سقز
